shift_angstrom,target_kj_mol,predicted_kj_mol,error_kj_mol
-0.80000000,-40.24713039,-234.27680646,-194.02967607
-0.56250000,-28.03593159,-32.00483123,-3.96889965
-0.32500000,-20.59665251,-15.29326057,5.30339194
-0.08750000,-15.66862154,-10.03112654,5.63749500
0.15000000,-12.22353780,-8.56977642,3.65376138
0.62500000,-7.85776752,-7.92729610,-0.06952857
1.10000000,-5.32959500,-7.27155337,-1.94195837
1.57500000,-3.76136446,-6.41718681,-2.65582235
2.05000000,-2.73783901,-5.53470998,-2.79687096
2.76250000,-1.77856821,-4.32422862,-2.54566041
3.47500000,-1.20538103,-3.32487425,-2.11949323
4.18750000,-0.84479869,-2.54311949,-1.69832081
