shift_angstrom,target_kj_mol,predicted_kj_mol,error_kj_mol
-0.80000000,-40.24713039,-44.82315272,-4.57602233
-0.56250000,-28.03593159,-31.04733008,-3.01139849
-0.32500000,-20.59665251,-23.69901222,-3.10235971
-0.08750000,-15.66862154,-19.10705286,-3.43843132
0.15000000,-12.22353780,-15.86279369,-3.63925588
0.62500000,-7.85776752,-11.38113148,-3.52336396
1.10000000,-5.32959500,-8.37108935,-3.04149435
1.57500000,-3.76136446,-6.25293370,-2.49156924
2.05000000,-2.73783901,-4.73308785,-1.99524883
2.76250000,-1.77856821,-3.18875133,-1.41018312
3.47500000,-1.20538103,-2.20297200,-0.99759098
4.18750000,-0.84479869,-1.55740559,-0.71260691
