shift_angstrom,target_lr_espol_kj_mol,drude_kj_mol,mpid_kj_mol,drude_error_kj_mol,mpid_error_kj_mol
-0.80000000,-40.24713039,-44.99997144,-33.62136881,-4.75284105,6.62576158
-0.56250000,-28.03593159,-31.19484370,-25.31535042,-3.15891211,2.72058117
-0.32500000,-20.59665251,-23.84238355,-19.39893217,-3.24573104,1.19772034
-0.08750000,-15.66862154,-19.24573809,-15.11502324,-3.57711655,0.55359830
0.15000000,-12.22353780,-15.99209525,-11.95626246,-3.76855745,0.26727534
0.62500000,-7.85776752,-11.48424650,-7.78560525,-3.62647897,0.07216227
1.10000000,-5.32959500,-8.44884797,-5.30520158,-3.11925298,0.02439342
1.57500000,-3.76136446,-6.31065796,-3.75106783,-2.54929350,0.01029663
2.05000000,-2.73783901,-4.77592328,-2.73261378,-2.03808426,0.00522523
2.76250000,-1.77856821,-3.21639057,-1.77616044,-1.43782235,0.00240778
3.47500000,-1.20538103,-2.22108241,-1.20404878,-1.01570138,0.00133224
4.18750000,-0.84479869,-1.56947887,-0.84397646,-0.72468018,0.00082222
