#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,4.9999999999999485,-10425.027172060218,1930.8877466692763,-8494.139425390942,307.79644349245376,7.428482788067289,1.014830301662956,0
20000,10.00000000000073,-10354.520088303078,1869.546061423645,-8484.974026879432,298.0181678837304,7.406250612180672,1.017876631978127,98.3
30000,15.00000000000684,-10482.255825867702,1933.1299272917886,-8549.125898575912,308.15386210597376,7.645061811458294,0.9860808996224987,98.2
40000,19.99999999999874,-10347.372792220674,1897.7891741592089,-8449.583618061466,302.5203092786193,7.662954443186508,0.9837784479347089,98.2
50000,24.999999999987086,-10579.382060359,1921.876180118841,-8657.505880240158,306.35993940809965,7.521070081342007,1.0023373465717342,98.2
60000,29.999999999975433,-10389.965179015358,1841.9910477958565,-8547.974131219502,293.6257140967876,7.54585274673997,0.9990453937720057,98.2
70000,34.99999999998509,-10340.603793402086,2020.9071562132704,-8319.696637188816,322.14614049101175,7.564937882289267,0.996524961078873,98.2
80000,40.00000000000897,-10363.670132672181,1883.349800249853,-8480.320332422329,300.2185763357159,7.719628030627878,0.9765560463279533,98.2
90000,45.00000000003284,-10366.189079730771,1793.4486964554426,-8572.74038327533,285.8877380662735,7.703461945902445,0.9786053960742019,98.2
100000,50.000000000056716,-10258.120521082194,1989.3632311484982,-8268.757289933696,317.1178274958742,7.6111598043441,0.990473150282522,98.2
110000,55.00000000008059,-10405.692144577915,1822.077276868491,-8583.614867709424,290.4513255915319,7.717112220961519,0.9768744075323452,98.2
120000,60.000000000104464,-10343.377851568337,1919.9124820585866,-8423.465369509751,306.04691278079747,7.49020084695508,1.0064682620329226,98.2
130000,65.00000000012834,-10447.965575099224,1946.0578052084352,-8501.90776989079,310.21465246083136,7.564083049148198,0.9966375804878747,98.2
140000,70.00000000015221,-10360.913142584148,1853.8665675197417,-8507.046575064407,295.51875150506834,7.575022904675323,0.9951982355141832,98.2
150000,75.00000000017609,-10370.95629135624,1735.5514811421947,-8635.404810214046,276.6585340422309,7.721974866099526,0.9762592548452931,98.2
160000,80.00000000019996,-10513.094967721438,1827.8342092177234,-8685.260758503715,291.3690191786275,7.641827510394033,0.9864982451460347,98.2
170000,85.00000000022384,-10381.113212771306,1892.8763648359911,-8488.236847935315,301.7371745573743,7.365925131566724,1.023449097575737,98.2
180000,90.00000000024771,-10418.694825406768,1804.0838573337478,-8614.61096807302,287.58305396434093,7.544745564147726,0.9991920025157257,98.2
190000,95.00000000027158,-10347.09084143542,1817.052998785124,-8530.037842650296,289.65042200309426,7.679956911973574,0.9816004848880256,98.2
200000,100.00000000029546,-10525.240692868538,1824.8516582734899,-8700.389034595048,290.89358057544894,7.470162016816343,1.009168129384863,98.2
210000,105.00000000031933,-10546.26711760636,1805.4502696003842,-8740.816848005976,287.8008692344105,7.64947608230251,0.9855118635057231,98.2
220000,110.0000000003432,-10378.66970901395,1864.7707858285594,-8513.89892318539,297.25695696020654,7.409022416267379,1.0174958321303516,98.2
230000,115.00000000036708,-10481.47266799875,1868.3348718816103,-8613.13779611714,297.82509615593216,7.547083793092353,0.9988824339822928,98.2
240000,120.00000000039095,-10306.508319206536,1868.3975149779442,-8438.110804228592,297.83508188518806,7.7881493493615235,0.967964158177119,98.2
250000,125.00000000041483,-10494.72312126524,1894.2201501640848,-8600.502971101156,301.9513829418429,7.504824807446307,1.0045070500823066,98.2
260000,130.00000000038185,-10639.152428686677,1905.079026956941,-8734.073401729736,303.68236065555476,7.556207792881751,0.9976762994546171,98.2
270000,135.0000000002636,-10387.32297877461,1954.7554933600145,-8432.567485414595,311.60112222546695,7.576263818330916,0.9950352323360887,98.2
280000,140.00000000014538,-10319.029391169955,1881.1947783649011,-8437.834612805054,299.87505140891403,7.518956389989568,1.0026191186251665,98.2
290000,145.00000000002714,-10397.847458685748,1745.4644163190267,-8652.383042366722,278.2387223246741,7.394486121654355,1.0194960548557763,98.2
300000,149.9999999999089,-10481.009193688515,1754.884045430664,-8726.12514825785,279.74027431524445,7.769812995634848,0.9702485031425706,98.2
310000,154.99999999979067,-10459.812764989794,1937.9560970025968,-8521.856667987198,308.9231858925275,7.717461888376471,0.9768301467178762,98.2
320000,159.99999999967244,-10412.333659693482,1882.1883971255356,-8530.145262567947,300.0334408964637,7.66499977438883,0.9835159361519354,98.2
330000,164.9999999995542,-10543.657306780515,1941.968713664096,-8601.688593116418,309.56282387233165,7.708299186978336,0.9779912852172992,98.2
340000,169.99999999943597,-10510.428495698841,1719.932938730057,-8790.495556968785,274.16883373972297,7.282744815658569,1.0351384841198359,98.2
350000,174.99999999931774,-10353.807033317978,1689.4948328557014,-8664.312200462276,269.3167957323682,7.688003149628407,0.9805731451965886,98.2
360000,179.9999999991995,-10439.582832440268,1912.0750699270027,-8527.507762513265,304.79757677747597,7.632738916419195,0.9876729063135659,98.2
370000,184.99999999908127,-10524.894923048152,1909.345453143479,-8615.549469904672,304.36245757413843,7.610424089237796,0.9905689013274711,98.2
380000,189.99999999896303,-10460.557276032341,1921.70263892606,-8538.85463710628,306.3322757792691,7.5360246796717165,1.000348293583455,98.2
390000,194.9999999988448,-10702.732819288329,1975.1246478091402,-8727.608171479189,314.84810191509604,7.479872740246089,1.0078579797420966,98.2
400000,199.99999999872657,-10566.1873935865,1865.286132541839,-8700.901261044663,297.33910667905275,7.938237201898986,0.9496629083984802,98.2
410000,204.99999999860833,-10417.453486966144,1895.4667522415723,-8521.98673472457,302.1500996650516,7.737174370724382,0.974341415547884,98.2
420000,209.9999999984901,-10400.45926923427,2063.385080938983,-8337.074188295288,328.9174062883463,7.500101310524765,1.0051396796645329,98.2
430000,214.99999999837186,-10472.808212846168,1969.161805270474,-8503.646407575694,313.89758486423557,7.523444605819571,1.002020992203634,98.2
440000,219.99999999825363,-10583.322295308404,1943.0120530934494,-8640.310242214955,309.7291391675961,7.651349879730187,0.9852705139891268,98.2
450000,224.9999999981354,-10383.03263254097,1888.9445608738276,-8494.088071667142,301.11041866327787,7.512770274273713,1.0034446886426582,98.2
460000,229.99999999801716,-10498.22275920381,2032.558880986071,-8465.66387821774,324.0035034846952,7.551288725606688,0.9983262066445132,98.2
470000,234.99999999789893,-10447.683793738077,1743.9592239675865,-8703.724569770491,277.99878457927935,7.623033398121184,0.9889303948963967,98.2
480000,239.9999999977807,-10599.414001602505,1753.7539579796867,-8845.660043622818,279.5601308041339,7.5186226054351515,1.0026636292746993,98.2
490000,244.99999999766246,-10404.117941979785,1956.6768282911582,-8447.441113688627,311.9073958861623,7.554118515885959,0.9979522313369821,98.2
