batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
0,-0.8000000000,-25.8840961456,-14.3630342484,-124.4130935669,-34.6735744476,16.9219033718,195.3973667100,76.2520141602,-21.5698942576,-48.1610794067,-57.9988014698,27.4204586886,1.0000000000
0,-0.5625000000,-20.2837047577,-7.7522268295,-58.3401336670,-8.0366630554,8.4423378110,94.9128628400,26.1214828491,-9.5319282384,-32.2186508179,-27.6302568316,-2.5038995474,1.0000000000
0,-0.3250000000,-16.0910148621,-4.5056376457,-31.0578536987,3.4169397354,4.5805235431,45.3666675600,9.1587219238,-4.1527925225,-21.8991317749,-12.5991892293,-13.8810975538,1.0000000000
0,-0.0875000000,-12.9114131927,-2.7572083473,-18.2136173248,7.5763974190,2.6539272740,21.4425748400,3.1206145287,-1.7982599805,-15.0930027962,-5.4382968470,-16.5556062395,1.0000000000
0,0.1500000000,-10.4698009491,-1.7537368536,-11.4748268127,8.4774502516,1.6265330017,10.0600356100,0.9357910156,-0.7797534937,-10.5390357971,-2.1195545495,-15.6018448190,1.0000000000
0,0.6250000000,-7.0836229324,-0.7741445899,-5.2681975365,7.1710164547,0.6968973354,2.1911486200,-0.0798217431,-0.1523809482,-5.3480192795,0.0101462677,-11.1568725314,1.0000000000
0,1.1000000000,-4.9559302330,-0.3736647666,-2.7419559956,5.3319916129,0.3376060799,0.4752941100,-0.1282660067,-0.0329765688,-2.8702220023,0.3400026932,-7.4174970150,1.0000000000
0,1.5750000000,-3.5679328442,-0.1934316158,-1.5484404564,3.9025232494,0.1768756062,0.1025960400,-0.0802528560,-0.0083609310,-1.6286933124,0.3180343956,-4.9777884746,1.0000000000
0,2.0500000000,-2.6318128109,-0.1060262024,-0.9277069569,2.8880959749,0.0978101175,0.0219411200,-0.0454549231,-0.0026261301,-0.9731618799,0.2480670791,-3.4436188750,1.0000000000
0,2.7625000000,-1.7316123247,-0.0469558872,-0.4677082598,1.8969487101,0.0434609947,0.0020944300,-0.0206796061,-0.0006588167,-0.4883878659,0.1618414929,-2.1036789082,1.0000000000
0,3.4750000000,-1.1827392578,-0.0226417705,-0.2547690272,1.2912404463,0.0208394403,0.0001825800,-0.0109438188,-0.0002276961,-0.2657128461,0.1066988582,-1.3644401614,1.0000000000
0,4.1875000000,-0.8331024647,-0.0116962213,-0.1474405974,0.9062139243,0.0106522426,0.0000141800,-0.0065749972,-0.0000938951,-0.1540155946,0.0720674809,-0.9268264685,1.0000000000
1,-1.9000000000,-4.0370926857,-10.2503452301,-293.1167907715,-225.5891890526,13.5064222813,638.9269971500,195.2018432617,-45.2747356319,-97.9149475098,-226.3702046871,255.0796812069,1.0000000000
1,-1.6875000000,-5.2702631950,-5.7544655800,-139.0517425537,-110.4376301765,8.6262917519,330.5727517900,75.0817718506,-22.8800257152,-63.9699707031,-112.8360671997,119.8619572498,1.0000000000
1,-1.4750000000,-5.4580640793,-3.5065643787,-72.3495864868,-51.9046945572,5.3273329735,168.3907740600,29.3559761047,-11.4324717127,-42.9936103821,-55.5419900417,49.4580813866,1.0000000000
1,-1.2625000000,-5.1597461700,-2.2488260269,-40.6795921326,-22.8831977844,3.2305123806,84.6896119700,11.2414960861,-5.5760029523,-29.4380960464,-27.0612576008,15.2056864059,1.0000000000
1,-1.0500000000,-4.6674675941,-1.4937041998,-24.3998489380,-8.8435015678,1.9738928378,42.1278754300,3.9749908447,-2.6586080276,-20.4248580933,-13.0307805240,-0.1475433856,1.0000000000
1,-0.6250000000,-3.6038651466,-0.7098116279,-10.2150106430,0.6596031189,0.8045159727,10.1489793400,0.0510387905,-0.5852366049,-10.1639718525,-2.8495576829,-7.7634636659,1.0000000000
1,-0.2000000000,-2.7087650299,-0.3632045388,-4.9638304710,2.2053877711,0.3758280240,2.3770988600,-0.3351010978,-0.1322726637,-5.2989315689,-0.4907537736,-6.6168287621,1.0000000000
1,0.2250000000,-2.0304825306,-0.1969310939,-2.6789104939,2.0545668788,0.1957503014,0.5446243500,-0.2333773673,-0.0327722524,-2.9122878611,0.0229035557,-4.6049458668,1.0000000000
1,0.6500000000,-1.5313298702,-0.1120441929,-1.5606201887,1.6446059123,0.1099289670,0.1229451600,-0.1300531626,-0.0095801082,-1.6906733513,0.1111608162,-3.1095216108,1.0000000000
1,1.2875000000,-1.0207916498,-0.0518567823,-0.7701882720,1.1204757690,0.0509617954,0.0129925200,-0.0524573438,-0.0022400503,-0.8226456158,0.0987891324,-1.7857524135,1.0000000000
1,1.9250000000,-0.6961368918,-0.0258903541,-0.4166242182,0.7668369114,0.0257041793,0.0013287700,-0.0235241260,-0.0007362952,-0.4401483443,0.0705138449,-1.0910693207,1.0000000000
1,2.5625000000,-0.4851299524,-0.0137689495,-0.2412509024,0.5347384736,0.0138426988,0.0001303700,-0.0121329427,-0.0002911942,-0.2533838451,0.0496822705,-0.7027613101,1.0000000000
2,-1.2000000000,-13.5819053650,-15.3560419083,-202.9409790039,-135.6280250549,22.4439964294,431.2084294200,117.2234497070,-24.4949447202,-85.7175292969,-142.1219758987,149.9360081846,1.0000000000
2,-0.9333330000,-11.8746938705,-8.0915832520,-100.0076980591,-55.7768335342,10.7704811096,205.4582229400,44.1468467712,-12.3971085318,-55.8608512878,-64.9726295471,52.2613560133,1.0000000000
2,-0.6666670000,-9.9017105103,-4.5675330162,-56.1132202148,-20.7422332764,5.2171932459,99.0225483600,18.4416713715,-6.1178665335,-37.6715488434,-29.9942835569,10.7696118327,1.0000000000
2,-0.4000000000,-8.0637693405,-2.6962716579,-34.2794418335,-5.9370250702,2.5835236907,48.8082214600,8.3100214005,-3.0359610344,-25.9694204330,-14.1135423779,-5.0707429369,1.0000000000
2,-0.1333330000,-6.5017766953,-1.6446307898,-21.9842109680,0.0327911377,1.3487908542,24.6326458400,3.8316833973,-1.5283995120,-18.1525275707,-6.7648254931,-9.9595124425,1.0000000000
2,0.4000000000,-4.2145900726,-0.6627004147,-9.7762079239,2.8220217228,0.4739232361,6.5059063700,0.6857758760,-0.3885685390,-9.0904320478,-1.5813455284,-9.4317301004,1.0000000000
