shift_angstrom,target_lr_espol_kj_mol,predicted_lr_espol_kj_mol,target_total_nonbonded_kj_mol,predicted_total_nonbonded_kj_mol,predicted_qqtt_kj_mol,predicted_slater_sr_es_kj_mol,predicted_sr_es_total_kj_mol,predicted_slater_sr_pol_kj_mol,predicted_exchange_kj_mol,predicted_damped_dispersion_kj_mol,predicted_slater_sr_disp_kj_mol,predicted_dispersion_total_kj_mol,predicted_ct_like_kj_mol
-0.80000000,-40.24713039,-37.80665207,27.42045869,33.56462479,0.19747791,-54.48862457,-54.29114532,-0.03297297,194.57418823,-43.28816605,-5.08265066,-48.37081528,-20.50798035
-0.56250000,-28.03593159,-30.17133713,-2.50389955,-6.82750702,0.07024373,-25.31507301,-25.24482918,-0.01587813,89.63489532,-29.49664116,-2.36633110,-31.86297226,-9.16738510
-0.32500000,-20.59665251,-24.36217880,-13.88109755,-20.35511398,0.02437676,-11.52683640,-11.50245953,-0.00772196,40.58016205,-19.98752213,-1.08429217,-21.07181358,-3.99110198
-0.08750000,-15.66862154,-19.87869072,-16.55560624,-22.69430542,0.00828121,-5.18591261,-5.17763138,-0.00382370,18.19342995,-13.62458992,-0.49370706,-14.11829662,-1.70929301
0.15000000,-12.22353780,-16.37339783,-15.60184482,-20.92303085,0.00275547,-2.32052398,-2.31776857,-0.00192636,8.13338375,-9.41215324,-0.22507784,-9.63723087,-0.72609144
0.62500000,-7.85776752,-11.38640118,-11.15687253,-15.12170219,0.00028431,-0.46630383,-0.46601951,-0.00049793,1.64599729,-4.73616123,-0.04787761,-4.78403902,-0.13074146
1.10000000,-5.32959500,-8.14718342,-7.41749702,-10.49300003,0.00002579,-0.09617482,-0.09614903,-0.00012397,0.34579808,-2.56091619,-0.01062887,-2.57154512,-0.02379637
1.57500000,-3.76136446,-5.97251797,-4.97778847,-7.39790583,0.00000185,-0.02060435,-0.02060250,-0.00002856,0.07600036,-1.47396505,-0.00245122,-1.47641623,-0.00434059
2.05000000,-2.73783901,-4.47093058,-3.44361887,-5.35260248,0.00000006,-0.00459293,-0.00459287,-0.00000607,0.01741508,-0.89312750,-0.00058076,-0.89370829,-0.00077962
2.76250000,-1.77856821,-2.99457693,-2.10367891,-3.44825578,-0.00000001,-0.00051664,-0.00051665,-0.00000053,0.00203610,-0.45507225,-0.00006924,-0.45514148,-0.00005635
3.47500000,-1.20538103,-2.07552624,-1.36444016,-2.32491827,-0.00000000,-0.00006191,-0.00006191,-0.00000004,0.00025254,-0.24957019,-0.00000849,-0.24957868,-0.00000383
4.18750000,-0.84479869,-1.48068523,-0.92682647,-1.62576210,-0.00000000,-0.00000775,-0.00000775,-0.00000000,0.00003283,-0.14510056,-0.00000106,-0.14510162,-0.00000025
