shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-0.80000000,-25.88409615,-22.35954094,3.52455521,-14.36303425,-30.09052849,-15.72749424,-34.67357445,-4.59951639,30.07405806,16.92190337,-105.55172729,-122.47363067,195.39736671,14.05100346,-181.34636325,-48.16107941,-1099.73889160,-1051.57781219,-21.56989426,-3.69493341,17.87496084
-0.56250000,-20.28370476,-17.97980499,2.30389977,-7.75222683,-23.03101730,-15.27879047,-8.03666306,-3.39896679,4.63769627,8.44233781,-47.58950424,-56.03184205,94.91286284,8.73636627,-86.17649657,-32.21865082,-651.25714111,-619.03849030,-9.53192824,-3.32104754,6.21088069
-0.32500000,-16.09101486,-14.58488655,1.50612831,-4.50563765,-17.99752808,-13.49189043,3.41693974,-2.52465749,-5.94159722,4.58052354,-23.20957947,-27.79010301,45.36666756,5.44785833,-39.91880923,-21.89913177,-409.60897827,-387.70984650,-4.15279252,-2.98192024,1.17087228
-0.08750000,-12.91141319,-11.93074417,0.98066902,-2.75720835,-14.30932045,-11.55211210,7.57639742,-1.88490224,-9.46129966,2.65392727,-12.12454033,-14.77846760,21.44257484,3.41579962,-18.02677522,-15.09300280,-270.46463013,-255.37162733,-1.79825998,-2.67508268,-0.87682270
0.15000000,-10.46980095,-9.83676147,0.63303947,-1.75373685,-11.54402161,-9.79028475,8.47745025,-1.41416836,-9.89161861,1.62653300,-6.70127773,-8.32781073,10.06003561,2.15589476,-7.90414085,-10.53903580,-185.61766052,-175.07862473,-0.77975349,-2.39805698,-1.61830349
0.62500000,-7.08362293,-6.83278656,0.25083637,-0.77414459,-7.78784227,-7.01369768,7.17101645,-0.80682230,-7.97783875,0.69689734,-2.31171370,-3.00861103,2.19114862,0.87573141,-1.31541721,-5.34801928,-95.28369904,-89.93567976,-0.15238095,-1.92386246,-1.77148151
1.10000000,-4.95593023,-4.86960602,0.08632421,-0.37366477,-5.46086121,-5.08719644,5.33199161,-0.46773797,-5.79972959,0.33760608,-0.88442183,-1.22202791,0.47529411,0.36295336,-0.11234075,-2.87022200,-53.11751556,-50.24729356,-0.03297657,-1.54119515,-1.50821859
1.57500000,-3.56793284,-3.54932404,0.01860881,-0.19343162,-3.94974780,-3.75631618,3.90252325,-0.27495474,-4.17747799,0.17687561,-0.36055347,-0.53742908,0.10259604,0.15211590,0.04951986,-1.62869331,-31.42705154,-29.79835823,-0.00836093,-1.23390162,-1.22554069
2.05000000,-2.63181281,-2.63882351,-0.00701070,-0.10602620,-2.93110275,-2.82507655,2.88809597,-0.16359667,-3.05169265,0.09781012,-0.15377286,-0.25158298,0.02194112,0.06399751,0.04205639,-0.97316188,-19.47587395,-18.50271207,-0.00262613,-0.98802578,-0.98539965
2.76250000,-1.73161232,-1.74739265,-0.01578033,-0.04695589,-1.94991815,-1.90296226,1.89694871,-0.07655853,-1.97350724,0.04346099,-0.04576279,-0.08922379,0.00209443,0.01742489,0.01533046,-0.48838787,-10.18228722,-9.69389935,-0.00065882,-0.70914733,-0.70848852
