shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-0.80000000,-25.88409615,-25.58858490,0.29551125,-14.36303425,-12.87241936,1.49061489,-34.67357445,-29.44298172,5.23059273,16.92190337,-0.04436431,-16.96626769,195.39736671,197.67590332,2.27853661,-48.16107941,-48.06694031,0.09413910,-21.56989426,-21.69625282,-0.12635857
-0.56250000,-20.28370476,-20.19959831,0.08410645,-7.75222683,-10.23419571,-2.48196888,-8.03666306,-13.32098579,-5.28432274,8.44233781,-0.02186604,-8.46420385,94.91286284,94.94860840,0.03574556,-32.21865082,-32.41454697,-0.19589615,-9.53192824,-9.60202599,-0.07009775
-0.32500000,-16.09101486,-16.09050179,0.00051308,-4.50563765,-8.27639389,-3.77075624,3.41693974,-5.88127279,-9.29821253,4.58052354,-0.01073677,-4.59126032,45.36666756,45.39978027,0.03311271,-21.89913177,-21.90226364,-0.00313187,-4.15279252,-4.11787271,0.03491981
-0.08750000,-12.91141319,-12.93150330,-0.02009010,-2.75720835,-6.78772831,-4.03051996,7.57639742,-2.55862856,-10.13502598,2.65392727,-0.00527779,-2.65920506,21.44257484,21.80014801,0.35757317,-15.09300280,-14.96622944,0.12677336,-1.79825998,-1.72606504,0.07219494
0.15000000,-10.46980095,-10.48150826,-0.01170731,-1.75373685,-5.63272047,-3.87898362,8.47745025,-1.10584903,-9.58329928,1.62653300,-0.00260008,-1.62913308,10.06003561,10.58590126,0.52586565,-10.53903580,-10.39862442,0.14041138,-0.77975349,-0.71209371,0.06765978
0.62500000,-7.08362293,-7.05297279,0.03065014,-0.77414459,-3.99232793,-3.21818334,7.17101645,-0.20782326,-7.37883972,0.69689734,-0.00062999,-0.69752732,2.19114862,2.62152529,0.43037667,-5.34801928,-5.31467533,0.03334395,-0.15238095,-0.11798664,0.03439431
1.10000000,-4.95593023,-4.88627625,0.06965399,-0.37366477,-2.91867590,-2.54501113,5.33199161,-0.04051957,-5.37251118,0.33760608,-0.00014939,-0.33775547,0.47529411,0.69584626,0.22055215,-2.87022200,-2.91880059,-0.04857859,-0.03297657,-0.01927147,0.01370510
1.57500000,-3.56793284,-3.47387695,0.09405589,-0.19343162,-2.18742704,-1.99399543,3.90252325,-0.00834277,-3.91086602,0.17687561,-0.00003431,-0.17690992,0.10259604,0.19566800,0.09307196,-1.62869331,-1.70240045,-0.07370713,-0.00836093,-0.00313705,0.00522388
2.05000000,-2.63181281,-2.52676392,0.10504889,-0.10602620,-1.67352796,-1.56750175,2.88809597,-0.00182421,-2.88992019,0.09781012,-0.00000770,-0.09781781,0.02194112,0.05735523,0.03541411,-0.97316188,-1.04281843,-0.06965655,-0.00262613,-0.00050997,0.00211616
2.76250000,-1.73161232,-1.62652588,0.10508645,-0.04695589,-1.15641654,-1.10946065,1.89694871,-0.00020852,-1.89715724,0.04346099,-0.00000081,-0.04346181,0.00209443,0.00955314,0.00745871,-0.48838787,-0.53814179,-0.04975392,-0.00065882,-0.00003356,0.00062526
3.47500000,-1.18273926,-1.08740330,0.09533596,-0.02264177,-0.82502210,-0.80238033,1.29124045,-0.00002686,-1.29126731,0.02083944,-0.00000009,-0.02083953,0.00018258,0.00163675,0.00145417,-0.26571285,-0.29798138,-0.03226854,-0.00022770,-0.00000228,0.00022541
4.18750000,-0.83310246,-0.75058937,0.08251309,-0.01169622,-0.60439378,-0.59269756,0.90621392,-0.00000379,-0.90621772,0.01065224,-0.00000001,-0.01065225,0.00001418,0.00028210,0.00026792,-0.15401559,-0.17455395,-0.02053835,-0.00009390,-0.00000017,0.00009373
