shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-0.80000000,-25.88409615,-24.80052757,1.08356857,-14.36303425,-13.00612545,1.35690880,-34.67357445,-54.29114532,-19.61757088,16.92190337,-0.03297297,-16.95487634,195.39736671,194.57418823,-0.82317848,-48.16107941,-48.37081528,-0.20973587,-21.56989426,-20.50798035,1.06191391
-0.56250000,-20.28370476,-19.83865547,0.44504929,-7.75222683,-10.33268166,-2.58045483,-8.03666306,-25.24482918,-17.20816612,8.44233781,-0.01587813,-8.45821594,94.91286284,89.63489532,-5.27796752,-32.21865082,-31.86297226,0.35567856,-9.53192824,-9.16738510,0.36454314
-0.32500000,-16.09101486,-16.01162910,0.07938576,-4.50563765,-8.35054970,-3.84491205,3.41693974,-11.50245953,-14.91939926,4.58052354,-0.00772196,-4.58824550,45.36666756,40.58016205,-4.78650551,-21.89913177,-21.07181358,0.82731819,-4.15279252,-3.99110198,0.16169054
-0.08750000,-12.91141319,-13.03400040,-0.12258720,-2.75720835,-6.84468985,-4.08748150,7.57639742,-5.17763138,-12.75402880,2.65392727,-0.00382370,-2.65775097,21.44257484,18.19342995,-3.24914489,-15.09300280,-14.11829662,0.97470617,-1.79825998,-1.70929301,0.08896697
0.15000000,-10.46980095,-10.69612312,-0.22632217,-1.75373685,-5.67727423,-3.92353737,8.47745025,-2.31776857,-10.79521883,1.62653300,-0.00192636,-1.62845936,10.06003561,8.13338375,-1.92665186,-10.53903580,-9.63723087,0.90180492,-0.77975349,-0.72609144,0.05366205
0.62500000,-7.08362293,-7.36547470,-0.28185177,-0.77414459,-4.02092648,-3.24678189,7.17101645,-0.46601951,-7.63703597,0.69689734,-0.00049793,-0.69739526,2.19114862,1.64599729,-0.54515133,-5.34801928,-4.78403902,0.56398026,-0.15238095,-0.13074146,0.02163949
1.10000000,-4.95593023,-5.20914268,-0.25321245,-0.37366477,-2.93804073,-2.56437597,5.33199161,-0.09614903,-5.42814065,0.33760608,-0.00012397,-0.33773005,0.47529411,0.34579808,-0.12949603,-2.87022200,-2.57154536,0.29867664,-0.03297657,-0.02379637,0.00918020
1.57500000,-3.56793284,-3.77141762,-0.20348477,-0.19343162,-2.20110035,-2.00766873,3.90252325,-0.02060250,-3.92312575,0.17687561,-0.00002856,-0.17690417,0.10259604,0.07600036,-0.02659568,-1.62869331,-1.47641623,0.15227708,-0.00836093,-0.00434059,0.00402034
2.05000000,-2.63181281,-2.78742981,-0.15561700,-0.10602620,-1.68350077,-1.57747456,2.88809597,-0.00459287,-2.89268884,0.09781012,-0.00000607,-0.09781618,0.02194112,0.01741508,-0.00452604,-0.97316188,-0.89370823,0.07945365,-0.00262613,-0.00077962,0.00184651
2.76250000,-1.73161232,-1.83165646,-0.10004413,-0.04695589,-1.16292048,-1.11596459,1.89694871,-0.00051665,-1.89746536,0.04346099,-0.00000053,-0.04346152,0.00209443,0.00203610,-0.00005833,-0.48838787,-0.45514148,0.03324638,-0.00065882,-0.00005635,0.00060247
3.47500000,-1.18273926,-1.24608326,-0.06334400,-0.02264177,-0.82944298,-0.80680121,1.29124045,-0.00006191,-1.29130236,0.02083944,-0.00000004,-0.02083948,0.00018258,0.00025254,0.00006996,-0.26571285,-0.24957868,0.01613416,-0.00022770,-0.00000383,0.00022387
4.18750000,-0.83310246,-0.87318993,-0.04008746,-0.01169622,-0.60749531,-0.59579909,0.90621392,-0.00000775,-0.90622167,0.01065224,-0.00000000,-0.01065225,0.00001418,0.00003283,0.00001865,-0.15401559,-0.14510162,0.00891397,-0.00009390,-0.00000025,0.00009365
